30000 30000
17111 27003 1073741823
27455 28576 1073741823
13317 14007 1073741823
20906 21466 1073741823
27910 29674 1073741823
26778 29371 1073741823
26004 26480 1073741823
11705 23546 1073741823
4559 23298 1073741823
2120 19193 1073741823
258 5998 1073741823
7353 27656 1073741823
14278 17918 1073741823
2378 24928 1073741823
1893 11117 1073741823
13327 21559 1073741823
12386 25353 1073741823
16739 16831 1073741823
407 15652 1073741823
11360 20630 1073741823
10879 21164 1073741823
12221 28777 1073741823
23221 23355 1073741823
4119 15210 1073741823
21725 23126 1073741823
18244 20199 1073741823
5265 7921 1073741823
1204 28106 1073741823
4254 12594 1073741823
27448 29821 1073741823
28017 28457 1073741823
25400 28914 1073741823
13260 28352 1073741823
15071 26351 1073741823
24510 26194 1073741823
714 2498 1073741823
23505 25474 1073741823
721 27423 1073741823
15493 24910 1073741823
15125 22091 1073741823
20477 27578 1073741823
2107 26946 1073741823
22009 24958 1073741823
6359 19610 1073741823
29700 29778 1073741823
17772 29063 1073741823
14831 23985 1073741823
24979 27076 1073741823
19069 25639 1073741823
91 4968 1073741823
1840 16968 1073741823
12816 15426 1073741823
1892 4182 1073741823
15119 23232 1073741823
4587 25426 1073741823
11480 17941 1073741823
12953 27349 1073741823
5477 12475 1073741823
14928 14967 1073741823
14523 19097 1073741823
23135 23189 1073741823
2238 4672 1073741823
1478 3400 1073741823
20297 23894 1073741823
21982 25036 1073741823
15998 18048 1073741823
10598 27581 1073741823
23387 28306 1073741823
6049 16377 1073741823
350 15777 1073741823
1486 7148 1073741823
10123 10881 1073741823
4120 5250 1073741823
2219 28445 1073741823
25984 26189 1073741823
23735 24108 1073741823
8215 8754 1073741823
13525 25747 1073741823
28016 28909 1073741823
4226 20812 1073741823
6997 14542 1073741823
9713 10745 1073741823
23737 24371 1073741823
25555 26826 1073741823
23278 29423 1073741823
11303 22221 1073741823
26392 29029 1073741823
12628 14924 1073741823
24546 27683 1073741823
10613 13273 1073741823
8047 13088 1073741823
19444 25203 1073741823
1428 6067 1073741823
19802 27690 1073741823
29252 29346 1073741823
19813 22671 1073741823
17483 18821 1073741823
27484 27719 1073741823
12351 18288 1073741823
29855 29996 1073741823
948 20677 1073741823
24962 28201 1073741823
10416 20269 1073741823
5211 6194 1073741823
2095 14578 1073741823
3802 21005 1073741823
21511 24291 1073741823
4505 6062 1073741823
12093 26404 1073741823
23028 24247 1073741823
3674 4238 1073741823
29211 29892 1073741823
24105 27259 1073741823
18277 21685 1073741823
25058 27631 1073741823
1464 28285 1073741823
10332 24657 1073741823
8262 9922 1073741823
24958 26575 1073741823
24265 26813 1073741823
10231 21411 1073741823
10419 27034 1073741823
4910 27078 1073741823
1951 8921 1073741823
9596 29077 1073741823
26188 27243 1073741823
27290 28921 1073741823
11979 17302 1073741823
23125 23228 1073741823
391 5337 1073741823
21385 22939 1073741823
10197 26553 1073741823
17228 27045 1073741823
236 6337 1073741823
19562 20587 1073741823
25286 25694 1073741823
786 13009 1073741823
119 10240 1073741823
4302 10134 1073741823
8382 23859 1073741823
21688 27493 1073741823
522 26852 1073741823
21484 21953 1073741823
622 26300 1073741823
3641 7096 1073741823
14840 21228 1073741823
2844 20400 1073741823
28815 29934 1073741823
13038 26018 1073741823
29867 29883 1073741823
18524 22228 1073741823
13945 21850 1073741823
5656 30000 1073741823
815 4686 1073741823
9422 13740 1073741823
21645 22747 1073741823
3418 23696 1073741823
16597 23709 1073741823
15160 20023 1073741823
1212 9096 1073741823
13115 19765 1073741823
21969 21970 1073741823
12930 18612 1073741823
3645 8833 1073741823
14761 22984 1073741823
12700 24057 1073741823
22588 23200 1073741823
13323 13831 1073741823
19569 24488 1073741823
14210 15158 1073741823
19222 25844 1073741823
13157 29874 1073741823
968 14702 1073741823
14933 17706 1073741823
13670 28683 1073741823
21068 26010 1073741823
26309 28180 1073741823
4841 26688 1073741823
6053 27265 1073741823
2264 6397 1073741823
2228 22010 1073741823
18070 21932 1073741823
8946 18712 1073741823
1140 4422 1073741823
85 29369 1073741823
15801 17158 1073741823
9102 9903 1073741823
7277 14756 1073741823
20587 26774 1073741823
2611 2876 1073741823
1582 9976 1073741823
8311 10880 1073741823
10814 22789 1073741823
15849 21407 1073741823
11372 28998 1073741823
280 11086 1073741823
2569 17659 1073741823
20802 21982 1073741823
29542 29657 1073741823
26986 27249 1073741823
17596 21157 1073741823
6572 8608 1073741823
29214 29728 1073741823
13006 18762 1073741823
28587 29784 1073741823
20503 27241 1073741823
27144 28768 1073741823
29540 29751 1073741823
25358 26730 1073741823
10104 18022 1073741823
1727 20786 1073741823
7316 12668 1073741823
19583 25016 1073741823
29511 29869 1073741823
14465 16703 1073741823
10632 11502 1073741823
20863 25228 1073741823
24066 29942 1073741823
7854 15540 1073741823
23983 27563 1073741823
16881 19404 1073741823
12200 25894 1073741823
588 5008 1073741823
4924 6766 1073741823
23196 25437 1073741823
9279 20350 1073741823
24710 25547 1073741823
6564 6849 1073741823
6062 14628 1073741823
21071 27295 1073741823
1321 25297 1073741823
9252 18505 1073741823
5940 16587 1073741823
8548 17902 1073741823
13606 23854 1073741823
18489 20387 1073741823
2979 25377 1073741823
20623 25644 1073741823
26899 28332 1073741823
3110 17317 1073741823
15954 23196 1073741823
3301 26433 1073741823
6057 10171 1073741823
1394 27853 1073741823
8702 18863 1073741823
6143 23215 1073741823
4167 5046 1073741823
1895 22279 1073741823
21 22885 1073741823
2377 29649 1073741823
25966 26587 1073741823
24979 27354 1073741823
29995 29997 1073741823
24180 24694 1073741823
26435 27731 1073741823
11851 12236 1073741823
8087 9467 1073741823
15891 20291 1073741823
11793 22984 1073741823
12579 24898 1073741823
1495 2122 1073741823
29185 29609 1073741823
13508 15904 1073741823
17784 27995 1073741823
12056 24319 1073741823
5098 7583 1073741823
878 27469 1073741823
23783 28182 1073741823
2799 12990 1073741823
2301 6204 1073741823
27078 28215 1073741823
3538 9690 1073741823
29651 29778 1073741823
6257 14119 1073741823
18852 23718 1073741823
12770 14842 1073741823
16801 18561 1073741823
4605 7581 1073741823
29062 29158 1073741823
5247 12112 1073741823
27671 28958 1073741823
1118 15988 1073741823
1807 22464 1073741823
12634 23156 1073741823
15705 16822 1073741823
981 21008 1073741823
386 29358 1073741823
740 1182 1073741823
5231 5985 1073741823
166 272 1073741823
13387 23505 1073741823
24789 28611 1073741823
14276 21349 1073741823
11674 28164 1073741823
26999 28201 1073741823
28326 29926 1073741823
14248 27523 1073741823
334 10499 1073741823
3127 5473 1073741823
6678 14695 1073741823
24783 25040 1073741823
1698 2933 1073741823
25441 26036 1073741823
10665 20465 1073741823
16081 18985 1073741823
24411 27682 1073741823
23535 23865 1073741823
23332 29288 1073741823
11944 23277 1073741823
2385 13749 1073741823
25470 29345 1073741823
4627 8457 1073741823
309 8413 1073741823
5362 10060 1073741823
21199 23868 1073741823
5699 15855 1073741823
11707 12374 1073741823
19725 21686 1073741823
26698 28798 1073741823
25160 26907 1073741823
5218 5442 1073741823
8503 10486 1073741823
21110 22677 1073741823
504 16832 1073741823
20661 26750 1073741823
16986 23587 1073741823
19074 28670 1073741823
238 20168 1073741823
7205 7453 1073741823
3681 15659 1073741823
16064 20498 1073741823
26888 28779 1073741823
16516 18175 1073741823
5821 29612 1073741823
3364 8740 1073741823
20714 26526 1073741823
6794 13923 1073741823
14051 25839 1073741823
19914 22859 1073741823
1353 19126 1073741823
11348 15800 1073741823
15052 25609 1073741823
11629 15798 1073741823
352 1947 1073741823
16352 23069 1073741823
5491 6662 1073741823
22512 29188 1073741823
6542 15782 1073741823
6546 22878 1073741823
10075 12521 1073741823
29401 29850 1073741823
23990 26535 1073741823
15026 26695 1073741823
5382 7849 1073741823
10193 14869 1073741823
11726 28322 1073741823
13291 23552 1073741823
11647 16067 1073741823
16166 18656 1073741823
7569 22321 1073741823
1998 13804 1073741823
24785 28678 1073741823
19017 22687 1073741823
29437 29652 1073741823
7501 16034 1073741823
18062 22247 1073741823
24144 29374 1073741823
13525 15263 1073741823
16960 19971 1073741823
13385 27245 1073741823
24181 25221 1073741823
18720 26517 1073741823
15844 28061 1073741823
